,user-id,user-age,user-gender,user-nationality,user-knowledge,user-loyalty,user-loan,user-income,user-savings,user-properties,user-riskAversion,user-marital,user-dependents,user-pension,product-type,product-risk,product-term,product-yield,transaction-id,year,month,score
0,500,41,0,0,0,1,0,10822,132392,0,1,0,0,483040,1,1,30,1,5000,2019,9,0.0618770424447818
1,500,41,0,0,0,1,0,10822,132392,0,1,0,0,483040,2,2,10,2,5001,2019,10,0.1797462108328008
2,500,41,0,0,0,1,0,10822,132392,0,1,0,0,483040,0,2,10,2,5002,2019,9,0.7679180473142817
3,500,41,0,0,0,1,0,10822,132392,0,1,0,0,483040,0,0,20,0,5003,2017,12,0.6062407601287859
4,501,25,1,0,0,0,0,5284,51806,0,0,1,5,113300,0,0,1,0,5004,2019,10,0.8290348807901569
5,501,25,1,0,0,0,0,5284,51806,0,0,1,5,113300,0,1,20,1,5005,2018,8,0.5252072362470369
6,501,25,1,0,0,0,0,5284,51806,0,0,1,5,113300,2,2,5,2,5006,2017,2,1.0
7,501,25,1,0,0,0,0,5284,51806,0,0,1,5,113300,1,1,20,1,5007,2018,4,0.7194803771003664
8,501,25,1,0,0,0,0,5284,51806,0,0,1,5,113300,0,0,1,0,5008,2018,4,0.1024555045216814
9,503,26,1,0,0,0,0,5375,35494,0,0,1,6,203225,0,0,10,0,5014,2015,5,0.0503158160707015
10,503,26,1,0,0,0,0,5375,35494,0,0,1,6,203225,0,1,5,1,5015,2016,2,0.2126057819938067
11,505,47,1,0,2,0,1,13622,52221,4,1,0,4,4432688,0,2,5,2,5016,2018,2,0.0
12,506,27,1,1,0,2,0,5072,46566,2,0,1,1,595266,2,1,5,1,5017,2018,1,0.077755519427794
13,507,52,1,1,0,0,0,15487,110118,0,1,2,0,6707222,1,0,10,0,5018,2015,7,0.0718560381715099
14,507,52,1,1,0,0,0,15487,110118,0,1,2,0,6707222,1,1,1,1,5019,2015,4,0.668334898858295
15,508,34,1,1,1,0,0,7923,75581,1,0,0,3,965484,0,1,5,1,5020,2019,7,0.7961963262567514
16,508,34,1,1,1,0,0,7923,75581,1,0,0,3,965484,0,2,5,2,5021,2016,9,0.6665258345588175
17,508,34,1,1,1,0,0,7923,75581,1,0,0,3,965484,1,1,5,1,5022,2018,8,0.0554905964122403
18,508,34,1,1,1,0,0,7923,75581,1,0,0,3,965484,0,2,10,2,5023,2016,2,0.5565303355971849
19,508,34,1,1,1,0,0,7923,75581,1,0,0,3,965484,2,2,1,2,5024,2019,10,0.8467153298476121
20,509,33,0,0,2,0,0,8070,126191,2,0,0,0,208548,0,2,30,2,5025,2016,3,0.7811946406514398
21,510,30,0,0,0,0,0,6898,68755,1,0,1,2,533160,0,0,1,0,5026,2019,3,0.5635554706343181
22,511,49,0,0,0,0,0,13912,136739,4,1,0,3,9951704,1,0,10,0,5027,2015,12,0.5906157487221754
